x,L,u,e,tau_xx,tau_yy,tau_zz
0.11389,0.96651,1.1967,0.8646,0.67619,-0.12302,-0.52049
0.11489,0.96623,1.1986,0.8635,0.67729,-0.12324,-0.52127
0.11588,0.96594,1.2005,0.86239,0.67839,-0.12346,-0.52206
0.11688,0.96565,1.2024,0.86129,0.67949,-0.12368,-0.52286
0.11788,0.96536,1.2042,0.86019,0.6806,-0.1239,-0.52365
0.11888,0.96507,1.2061,0.85909,0.68171,-0.12413,-0.52444
0.11988,0.96479,1.2081,0.85799,0.68282,-0.12435,-0.52523
0.12088,0.9645,1.21,0.85689,0.68393,-0.12457,-0.52603
0.12188,0.96421,1.2119,0.8558,0.68505,-0.12479,-0.52682
0.12288,0.96392,1.2138,0.8547,0.68617,-0.12501,-0.52762
0.12388,0.96364,1.2157,0.85361,0.68729,-0.12523,-0.52842
0.12488,0.96335,1.2176,0.85252,0.68841,-0.12545,-0.52921
0.12587,0.96306,1.2195,0.85143,0.68954,-0.12567,-0.53001
0.12687,0.96277,1.2215,0.85034,0.69066,-0.12589,-0.53081
0.12787,0.96249,1.2234,0.84925,0.69179,-0.12612,-0.53161
0.12887,0.9622,1.2253,0.84817,0.69292,-0.12634,-0.53242
0.12987,0.96191,1.2273,0.84708,0.69405,-0.12657,-0.53322
0.13087,0.96162,1.2292,0.846,0.69518,-0.12679,-0.53403
0.13187,0.96134,1.2312,0.84492,0.69631,-0.12702,-0.53484
0.13287,0.96105,1.2331,0.84384,0.69745,-0.12724,-0.53564
0.13387,0.96076,1.235,0.84276,0.69859,-0.12747,-0.53645
0.13487,0.96047,1.237,0.84168,0.69973,-0.12769,-0.53726
0.13586,0.96019,1.2389,0.8406,0.70088,-0.12792,-0.53807
0.13686,0.9599,1.2409,0.83953,0.70202,-0.12814,-0.53889
0.13786,0.95961,1.2429,0.83846,0.70317,-0.12837,-0.5397
0.13886,0.95932,1.2448,0.83738,0.70432,-0.12859,-0.54051
0.13986,0.95904,1.2468,0.83631,0.70548,-0.12881,-0.54132
0.14086,0.95875,1.2488,0.83524,0.70663,-0.12904,-0.54214
0.14186,0.95846,1.2507,0.83418,0.70779,-0.12926,-0.54295
0.14286,0.95817,1.2527,0.83311,0.70895,-0.12948,-0.54377
0.14386,0.95789,1.2547,0.83204,0.71011,-0.12971,-0.54459
0.14486,0.9576,1.2567,0.83098,0.71128,-0.12994,-0.54541
0.14585,0.95731,1.2587,0.82992,0.71244,-0.13016,-0.54623
0.14685,0.95703,1.2607,0.82886,0.71361,-0.13039,-0.54705
0.14785,0.95674,1.2627,0.8278,0.71478,-0.13062,-0.54787
0.14885,0.95645,1.2646,0.82674,0.71595,-0.13085,-0.5487
0.14985,0.95616,1.2666,0.82568,0.71712,-0.13107,-0.54952
0.15085,0.95588,1.2686,0.82463,0.7183,-0.1313,-0.55035
0.15185,0.95559,1.2707,0.82357,0.71948,-0.13153,-0.55118
0.15285,0.9553,1.2727,0.82252,0.72066,-0.13176,-0.55201
0.15385,0.95502,1.2747,0.82147,0.72184,-0.13199,-0.55284
0.15485,0.95473,1.2767,0.82042,0.72302,-0.13222,-0.55367
0.15584,0.95444,1.2787,0.81937,0.72421,-0.13245,-0.5545
0.15684,0.95415,1.2807,0.81832,0.72539,-0.13268,-0.55534
0.15784,0.95387,1.2828,0.81727,0.72658,-0.13291,-0.55617
0.15884,0.95358,1.2848,0.81623,0.72778,-0.13314,-0.55701
0.15984,0.95329,1.2868,0.81519,0.72897,-0.13338,-0.55785
0.16084,0.95301,1.2889,0.81414,0.73017,-0.13361,-0.55869
0.16184,0.95272,1.2909,0.8131,0.73136,-0.13384,-0.55953
0.16284,0.95243,1.2929,0.81206,0.73256,-0.13408,-0.56037
0.16384,0.95215,1.295,0.81102,0.73377,-0.13431,-0.56121
0.16484,0.95186,1.297,0.80999,0.73497,-0.13455,-0.56206
0.16583,0.95157,1.2991,0.80895,0.73618,-0.13478,-0.5629
0.16683,0.95129,1.3011,0.80792,0.73738,-0.13502,-0.56375
0.16783,0.951,1.3032,0.80688,0.73859,-0.13525,-0.5646
0.16883,0.95071,1.3053,0.80585,0.7398,-0.13549,-0.56545
0.16983,0.95043,1.3073,0.80482,0.74102,-0.13573,-0.5663
0.17083,0.95014,1.3094,0.80379,0.74223,-0.13597,-0.56715
0.17183,0.94985,1.3115,0.80277,0.74345,-0.13621,-0.56801
0.17283,0.94957,1.3135,0.80174,0.74467,-0.13645,-0.56886
0.17383,0.94928,1.3156,0.80072,0.74589,-0.13669,-0.56972
0.17483,0.94899,1.3177,0.79969,0.74711,-0.13693,-0.57058
0.17582,0.94871,1.3198,0.79867,0.74834,-0.13717,-0.57144
0.17682,0.94842,1.3219,0.79765,0.74957,-0.13741,-0.5723
0.17782,0.94813,1.324,0.79663,0.7508,-0.13765,-0.57316
0.17882,0.94785,1.3261,0.79561,0.75203,-0.1379,-0.57403
0.17982,0.94756,1.3282,0.79459,0.75326,-0.13814,-0.57489
0.18082,0.94727,1.3303,0.79358,0.7545,-0.13838,-0.57576
0.18182,0.94699,1.3324,0.79256,0.75573,-0.13863,-0.57663
0.18282,0.9467,1.3345,0.79155,0.75697,-0.13887,-0.5775
0.18382,0.94642,1.3366,0.79054,0.75822,-0.13912,-0.57837
0.18482,0.94613,1.3387,0.78953,0.75946,-0.13936,-0.57924
0.18581,0.94584,1.3408,0.78852,0.7607,-0.13961,-0.58011
0.18681,0.94556,1.3429,0.78751,0.76195,-0.13986,-0.58099
0.18781,0.94527,1.3451,0.7865,0.7632,-0.1401,-0.58186
0.18881,0.94498,1.3472,0.7855,0.76445,-0.14035,-0.58274
0.18981,0.9447,1.3493,0.78449,0.76571,-0.1406,-0.58362
0.19081,0.94441,1.3515,0.78349,0.76697,-0.14085,-0.5845
0.19181,0.94413,1.3536,0.78249,0.76822,-0.1411,-0.58538
0.19281,0.94384,1.3557,0.78149,0.76948,-0.14135,-0.58627
0.19381,0.94355,1.3579,0.78049,0.77075,-0.1416,-0.58715
0.19481,0.94327,1.36,0.77949,0.77201,-0.14185,-0.58803
0.1958,0.94298,1.3622,0.7785,0.77328,-0.1421,-0.58892
0.1968,0.94269,1.3644,0.7775,0.77455,-0.14235,-0.58981
0.1978,0.94241,1.3665,0.77651,0.77582,-0.1426,-0.5907
0.1988,0.94212,1.3687,0.77551,0.77709,-0.14285,-0.59159
0.1998,0.94184,1.3709,0.77452,0.77837,-0.1431,-0.59248
0.2008,0.94155,1.373,0.77353,0.77965,-0.14336,-0.59338
0.2018,0.94126,1.3752,0.77254,0.78093,-0.14361,-0.59427
0.2028,0.94098,1.3774,0.77156,0.78221,-0.14386,-0.59517
0.2038,0.94069,1.3796,0.77057,0.78349,-0.14412,-0.59606
0.2048,0.94041,1.3817,0.76959,0.78478,-0.14437,-0.59696
0.20579,0.94012,1.3839,0.7686,0.78607,-0.14462,-0.59786
0.20679,0.93984,1.3861,0.76762,0.78736,-0.14488,-0.59876
0.20779,0.93955,1.3883,0.76664,0.78866,-0.14513,-0.59966
0.20879,0.93926,1.3905,0.76566,0.78995,-0.14539,-0.60057
0.20979,0.93898,1.3927,0.76468,0.79125,-0.14564,-0.60147
0.21079,0.93869,1.3949,0.7637,0.79255,-0.1459,-0.60238
0.21179,0.93841,1.3971,0.76273,0.79385,-0.14616,-0.60329
0.21279,0.93812,1.3994,0.76175,0.79516,-0.14642,-0.6042
0.21379,0.93783,1.4016,0.76078,0.79646,-0.14668,-0.60511
0.21479,0.93755,1.4038,0.7598,0.79777,-0.14694,-0.60603
0.21578,0.93726,1.406,0.75883,0.79908,-0.1472,-0.60694
0.21678,0.93698,1.4083,0.75786,0.80039,-0.14746,-0.60786
0.21778,0.93669,1.4105,0.75689,0.80171,-0.14772,-0.60878
0.21878,0.93641,1.4127,0.75593,0.80302,-0.14799,-0.60969
0.21978,0.93612,1.415,0.75496,0.80434,-0.14825,-0.61061
0.22078,0.93584,1.4172,0.754,0.80567,-0.14851,-0.61154
0.22178,0.93555,1.4194,0.75303,0.80699,-0.14877,-0.61246
0.22278,0.93526,1.4217,0.75207,0.80832,-0.14904,-0.61338
0.22378,0.93498,1.424,0.75111,0.80964,-0.1493,-0.61431
0.22478,0.93469,1.4262,0.75015,0.81098,-0.14957,-0.61523
0.22577,0.93441,1.4285,0.74919,0.81231,-0.14983,-0.61616
0.22677,0.93412,1.4307,0.74823,0.81365,-0.15009,-0.61709
0.22777,0.93384,1.433,0.74728,0.81498,-0.15036,-0.61802
0.22877,0.93355,1.4353,0.74632,0.81633,-0.15062,-0.61895
0.22977,0.93327,1.4376,0.74537,0.81767,-0.15089,-0.61989
0.23077,0.93298,1.4398,0.74441,0.81901,-0.15116,-0.62082
0.23177,0.9327,1.4421,0.74346,0.82036,-0.15142,-0.62176
0.23277,0.93241,1.4444,0.74251,0.82171,-0.15169,-0.62269
0.23377,0.93213,1.4467,0.74156,0.82307,-0.15195,-0.62363
0.23477,0.93184,1.449,0.74061,0.82442,-0.15222,-0.62457
0.23576,0.93156,1.4513,0.73967,0.82578,-0.15249,-0.62551
0.23676,0.93127,1.4536,0.73872,0.82714,-0.15276,-0.62645
0.23776,0.93099,1.4559,0.73778,0.82851,-0.15302,-0.62739
0.23876,0.9307,1.4582,0.73684,0.82987,-0.15329,-0.62833
0.23976,0.93042,1.4605,0.73589,0.83124,-0.15356,-0.62928
0.24076,0.93013,1.4628,0.73495,0.83261,-0.15383,-0.63022
0.24176,0.92985,1.4652,0.73401,0.83399,-0.15409,-0.63117
0.24276,0.92956,1.4675,0.73308,0.83537,-0.15436,-0.63212
0.24376,0.92928,1.4698,0.73214,0.83675,-0.15463,-0.63307
0.24476,0.92899,1.4721,0.7312,0.83813,-0.1549,-0.63402
0.24575,0.92871,1.4745,0.73027,0.83951,-0.15517,-0.63497
0.24675,0.92842,1.4768,0.72934,0.8409,-0.15544,-0.63592
0.24775,0.92814,1.4792,0.7284,0.84229,-0.15571,-0.63688
0.24875,0.92785,1.4815,0.72747,0.84367,-0.15599,-0.63784
0.24975,0.92757,1.4839,0.72654,0.84507,-0.15626,-0.6388
0.25075,0.92728,1.4862,0.72561,0.84646,-0.15653,-0.63976
0.25175,0.927,1.4886,0.72469,0.84786,-0.15681,-0.64072
0.25275,0.92671,1.4909,0.72376,0.84926,-0.15708,-0.64169
0.25375,0.92643,1.4933,0.72283,0.85066,-0.15736,-0.64265
0.25475,0.92614,1.4957,0.72191,0.85206,-0.15763,-0.64362
0.25574,0.92586,1.4981,0.72099,0.85347,-0.15791,-0.64459
0.25674,0.92557,1.5004,0.72007,0.85488,-0.15819,-0.64556
0.25774,0.92529,1.5028,0.71915,0.85629,-0.15846,-0.64653
0.25874,0.925,1.5052,0.71823,0.8577,-0.15874,-0.6475
0.25974,0.92472,1.5076,0.71731,0.85912,-0.15902,-0.64847
0.26074,0.92443,1.51,0.71639,0.86054,-0.1593,-0.64945
0.26174,0.92415,1.5124,0.71548,0.86196,-0.15958,-0.65042
0.26274,0.92386,1.5148,0.71456,0.86338,-0.15986,-0.6514
0.26374,0.92358,1.5172,0.71365,0.86481,-0.16014,-0.65238
0.26474,0.9233,1.5196,0.71274,0.86624,-0.16042,-0.65336
0.26573,0.92301,1.522,0.71183,0.86767,-0.1607,-0.65434
0.26673,0.92273,1.5244,0.71092,0.86911,-0.16098,-0.65533
0.26773,0.92244,1.5269,0.71001,0.87054,-0.16126,-0.65631
0.26873,0.92216,1.5293,0.7091,0.87198,-0.16154,-0.6573
0.26973,0.92187,1.5317,0.70819,0.87342,-0.16182,-0.65828
0.27073,0.92159,1.5341,0.70729,0.87487,-0.16211,-0.65927
0.27173,0.9213,1.5366,0.70638,0.87632,-0.16239,-0.66026
0.27273,0.92102,1.539,0.70548,0.87777,-0.16267,-0.66126
0.27373,0.92074,1.5415,0.70458,0.87922,-0.16296,-0.66225
0.27473,0.92045,1.5439,0.70368,0.88067,-0.16324,-0.66324
0.27572,0.92017,1.5464,0.70278,0.88213,-0.16353,-0.66424
0.27672,0.91988,1.5488,0.70188,0.88359,-0.16381,-0.66524
0.27772,0.9196,1.5513,0.70099,0.88505,-0.1641,-0.66623
0.27872,0.91932,1.5538,0.70009,0.88652,-0.16438,-0.66723
0.27972,0.91903,1.5562,0.69919,0.88799,-0.16467,-0.66824
